Title, Author, Page/Location, Clippings
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 86, "The more attractive an opportunity is, the more likely it is to become habit-forming."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 87, "They exaggerate features that are naturally attractive to us, and our instincts go wild as a result, driving us into excessive shopping habits, social media habits, porn habits, eating habits, and many"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 87, "They exaggerate features that are naturally attractive to us, and our instincts go wild as a result, driving us into excessive shopping habits, social media habits, porn habits, eating habits, and many others."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 87, "Scientists can track the precise moment a craving occurs by measuring a neurotransmitter called dopamine."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 88, "The ability to experience pleasure remained, but without dopamine, desire died. And without desire, action stopped."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 88, "dopamine is released not only when you experience pleasure, but also when you anticipate it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 88, "Whenever you predict that an opportunity will be rewarding, your levels of dopamine spike in anticipation. And whenever dopamine rises, so does your motivation to act."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 89, "Your brain has far more neural circuitry allocated for wanting rewards than for liking them."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 90, "The fact that the brain allocates so much precious space to the regions responsible for craving and desire provides further evidence of the crucial role these processes play. Desire"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 90, "The fact that the brain allocates so much precious space to the regions responsible for craving and desire provides further evidence of the crucial role these processes play."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 90, "Temptation bundling works by linking an action you want to do with an action you need to do."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 91, "the principle states that “more probable behaviors will reinforce less probable behaviors.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 93, "Doing the thing you need to do means you get to do the thing you want to do."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 93, "Chapter Summary"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 94, "His mantra was “A genius is not born, but is educated and trained.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 95, "Becoming separated from the tribe—or worse, being cast out—was a death sentence. “The lone wolf dies, but the pack survives.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 95, "As Charles Darwin noted, “In the long history of humankind, those who learned to collaborate and improvise most effectively have prevailed.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 96, "As the French philosopher Michel de Montaigne wrote, “The customs and practices of life in society sweep us along.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 96, "Behaviors are attractive when they help us fit in."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 96, "Imitating the Close"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 97, "We soak up the qualities and practices of those around us."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 97, "One of the most effective things you can do to build better habits is to join a culture where your desired behavior is the normal behavior."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 97, "Join a culture where (1) your desired behavior is the normal behavior and (2) you already have something in common with the group."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 98, "It’s friendship and community that embed a new identity and help behaviors last over the long run."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 98, "Imitating the Many"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 100, "Whenever we are unsure how to act, we look to the group to guide our behavior."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 100, "The normal behavior of the tribe often overpowers the desired behavior of the individual."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 100, "The reward of being accepted is often greater than the reward of winning an argument, looking smart, or finding truth."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 100, "When changing your habits means challenging the tribe, change is unattractive. When changing your habits means fitting in with the tribe, change is very attractive."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 100, "Imitating the Powerful"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 101, "And that means if a behavior can get us approval, respect, and praise, we find it attractive."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 101, "Chapter Summary"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 103, "He systematically reframes each cue associated with smoking and gives it a new meaning."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 104, "At a deep level, you simply want to reduce uncertainty and relieve anxiety, to win social acceptance and approval, or to achieve status."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 105, "Once you associate a solution with the problem you need to solve, you keep coming back to"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 105, "Once you associate a solution with the problem you need to solve, you keep coming back to it. Habits are all"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 105, "Once you associate a solution with the problem you need to solve, you keep coming back to it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 105, "Every time you perceive a cue, your brain runs a simulation and makes a prediction about what to do in the next moment."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 106, "Life feels reactive, but it is actually predictive. All day long, you are making your best guess of how to act given what you’ve just seen and what has worked for you in the past."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 106, "Feelings and emotions transform the cues we perceive and the predictions we make into a signal that we can apply."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 106, "Feelings and emotions transform the cues we perceive and the predictions we make into a signal that we can apply. They help explain what we are currently sensing."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 106, "A craving is the sense that something is missing. It is the desire to change your internal state."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 107, "Even the tiniest action is tinged with the motivation to feel differently than you do in the moment. When you binge-eat or light up or browse social media, what you really want is not a potato chip or a cigarette or a bunch of likes. What you really want is to feel different."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 107, "Neurologists have discovered that when emotions and feelings are impaired, we actually lose the ability to make decisions."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 107, "Antonio Damasio explains, “It is emotion that allows you to mark things as good, bad, or indifferent.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 107, "Habits are attractive when we associate them with positive feelings, and we can use this insight to our advantage rather than to our detriment."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 107, "You can make hard habits more attractive if you can learn to associate them with a positive experience."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 108, "You have to do those things, and you also get to do them."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 108, "Reframing your habits to highlight their benefits rather than their drawbacks is a fast and lightweight way to reprogram your mind and make a habit seem more attractive."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 109, "These little mind-set shifts aren’t magic, but they can help change the feelings you associate with a particular habit or situation."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 109, "If you want to take it a step further, you can create a motivation ritual. You simply practice associating your habits with something you enjoy, then you can use that cue whenever you need a bit of motivation."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 110, "Once a habit has been built, the cue can prompt a craving, even if it has little to do with the original situation."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 113, "We are so focused on figuring out the best approach that we never get around to taking action. As Voltaire once wrote, “The best is the enemy of the good.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 114, "If motion doesn’t lead to results, why do we do it? Sometimes we do it because we actually need to plan or learn more. But more often than not, we do it because motion allows us to feel like we’re making progress without running the risk of failure."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 114, "If you want to master a habit, the key is to start with repetition, not perfection. You don’t need to map out every feature of a new habit. You just need to practice it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 114, "The more you repeat an activity, the more the structure of your brain changes to become efficient at that activity. Neuroscientists call this long-term potentiation, which refers to the strengthening of connections between neurons in the brain based on recent patterns of activity."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 115, "Hebb’s Law: “Neurons that fire together wire together.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 115, "Like the muscles of the body responding to regular weight training, particular regions of the brain adapt as they are used and atrophy as they are abandoned."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 115, "Both common sense and scientific evidence agree: repetition is a form of change."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 115, "This means that simply putting in your reps is one of the most critical steps you can take to encoding a new habit."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 116, "One group engaged in active practice, the other in passive learning. One in action, the other in motion."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 116, "All habits follow a similar trajectory from effortful practice to automatic behavior, a process known as automaticity."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 116, "Automaticity is the ability to perform a behavior without thinking about each step, which occurs when the nonconscious mind takes over."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 116, "One of the most common questions I hear is, “How long does it take to build a new habit?” But what people really should be asking is, “How many does it take to form a new habit?”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 117, "You need to string together enough successful attempts until the behavior is firmly embedded in your mind and you cross the Habit Line."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 117, "To build a habit, you need to practice it. And the most effective way to make practice happen is to adhere to the 3rd Law of Behavior Change: make it easy."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 119, "The changes started out small—a crop that spread slightly farther, a population that grew slightly faster—but compounded into substantial differences over time."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 119, "Energy is precious, and the brain is wired to conserve it whenever possible. It is human nature to follow the Law of Least Effort,"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 120, "And the less energy a habit requires, the more likely it is to occur."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 120, "The greater the obstacle—that is, the more difficult the habit—the more friction there is between you and your desired end state."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 121, "The idea behind make it easy is not to only do easy things. The idea is to make it as easy as possible in the moment to do things that payoff in the long run."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 121, "You can do it, but it requires a lot of effort and increases the tension in your life. Meanwhile, making your habits simple and easy is like removing the bend in the hose."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 121, "Perhaps even more effective is reducing the friction within your home or office. Too often, we try to start habits in high-friction environments."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 122, "Similarly, when we remove the points of friction that sap our time and energy, we can achieve more with less effort."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 123, "Business is a never-ending quest to deliver the same result in an easier fashion."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 123, "Much of the battle of building better habits comes down to finding ways to reduce the friction associated with our good habits and increase the friction associated with our"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 123, "Much of the battle of building better habits comes down to finding ways to reduce the friction associated with our good habits and increase the friction associated with our bad ones."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 124, "The purpose of resetting each room is not simply to clean up after the last action, but to prepare for the next action."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 124, "Whenever you organize a space for its intended purpose, you are priming it to make the next action easy."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 126, "“How can we design a world where it’s easy to do what’s right?” Redesign your life so the actions that matter most are also the actions that are easiest to do."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 127, "In this way, the habits you follow without thinking often determine the choices you make when you are thinking."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 128, "there are a handful of moments that deliver an outsized impact. I refer to these little choices as decisive moments. The"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 128, "there are a handful of moments that deliver an outsized impact. I refer to these little choices as decisive moments."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 128, "These little choices stack up, each one setting the trajectory for how you spend the next chunk of time."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 129, "The most effective way I know to counteract this tendency is to use the Two-Minute Rule, which states, “When you start a new habit, it should take less than two minutes to do.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 129, "The actions that follow can be challenging, but the first two minutes should be easy. What you want is a “gateway habit” that naturally leads you down a more productive path."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 131, "The truth is, a habit must be established before it can be improved. If you can’t learn the basic skill of showing up, then you have little hope of mastering the finer details."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 131, "You have to standardize before you can optimize."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 132, "The secret is to always stay below the point where it feels like work."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 132, "You’re focused on becoming the type of person who doesn’t miss workouts. You’re taking the smallest action that confirms the type of person you want to be."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 132, "It’s better to do less than you hoped than to do nothing at all."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 134, "Whenever you are struggling to stick with a habit, you can employ the Two-Minute Rule. It’s a simple way to make your habits easy."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 136, "If you find yourself continually struggling to follow through on your plans, then you can take a page from Victor Hugo and make your bad habits more difficult by creating what psychologists call a commitment device."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 136, "A commitment device is a choice you make in the present that controls your actions in the future."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 136, "Commitment devices are useful because they enable you to take advantage of good intentions before you can fall victim to temptation. Whenever I’m looking to cut calories,"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 136, "Commitment devices are useful because they enable you to take advantage of good intentions before you can fall victim to temptation."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 137, "Commitment devices increase the odds that you’ll do the right thing in the future by making bad habits difficult in the present."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 137, "The machine automatically locked the cash and receipts inside after each transaction. Patterson bought two for fifty dollars each."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 138, "The best way to break a bad habit is to make it impractical to do. Increase the friction until you don’t even have the option to act."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 138, "These onetime choices require a little bit of effort up front but create increasing value over time."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 140, "Technology can transform actions that were once hard, annoying, and complicated into behaviors that are easy, painless, and simple."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 140, "Each habit that we hand over to the authority of technology frees up time and energy to pour into the next stage of growth."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 140, "Technology creates a level of convenience that enables you to act on your smallest whims and desires."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 141, "When the effort required to act on your desires becomes effectively zero, you can find yourself slipping into whatever impulse arises at the moment. The"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 141, "When the effort required to act on your desires becomes effectively zero, you can find yourself slipping into whatever impulse arises at the moment."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 141, "Once my bad habit became impossible, I discovered that I did actually have the motivation to work on more meaningful tasks."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 141, "It is the ultimate way to lock in future behavior rather than relying on willpower in the moment."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 146, "Everyone said handwashing was important, but few people made a habit out of it. The problem wasn’t knowledge. The problem was consistency."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 146, "We are more likely to repeat a behavior when the experience is satisfying. This is entirely logical. Feelings of pleasure—even minor ones like washing your hands with soap that smells nice and lathers well—are signals that tell the brain: “This feels good. Do this again, next time.” Pleasure teaches your brain that a behavior is worth remembering and repeating."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 147, "Cardinal Rule of Behavior Change: What is rewarded is repeated. What is punished is avoided."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 148, "Positive emotions cultivate habits. Negative emotions destroy them."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 148, "The fourth law of behavior change—make it satisfying—increases the odds that a behavior will be repeated next time. It completes the habit loop."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 148, "We are looking for immediate satisfaction."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 148, "You live in what scientists call an immediate-return environment because your actions instantly deliver clear and immediate outcomes."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 148, "You live in what scientists call a delayed-return environment because you can work for years before"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 148, "You live in what scientists call a delayed-return environment because you can work for years before your actions deliver the intended payoff."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 149, "Behavioral economists refer to this tendency as time inconsistency. That is, the way your brain evaluates rewards is inconsistent across time."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 149, "the consequences of bad habits are delayed while the rewards are immediate."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 150, "With our bad habits, the immediate outcome usually feels good, but the ultimate outcome feels bad. With good habits, it is the reverse: the immediate outcome is unenjoyable, but the ultimate outcome feels good."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 150, "Put another way, the costs of your good habits are in the present. The costs of your bad habits are in the future."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 150, "As a general rule, the more immediate pleasure you get from an action, the more strongly you should question whether it aligns with your long-term goals.*"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 150, "Cardinal Rule of Behavior Change: What is immediately rewarded is repeated. What is immediately punished is avoided."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 151, "At some point, success in nearly every field requires you to ignore an immediate reward in favor of a delayed reward."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 152, "This is why immediate rewards are essential. They keep you excited while the delayed rewards accumulate in the background."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 152, "You want the ending of your habit to be satisfying. The best approach is to use reinforcement, which refers to the process of using an immediate reward to increase the rate of a behavior."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 152, "Reinforcement ties your habit to an immediate reward, which makes it satisfying when you finish."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 151, "good habits tend to feel worthwhile only after they have provided you with something."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 152, "ties your habit to an immediate cue, which makes it obvious when to start."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 152, "habits of avoidance, which are behaviors you want to stop doing."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 152, "All you’re doing is resisting temptation, and there isn’t much satisfying about that."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 153, "important to select short-term rewards that reinforce your identity rather than ones that conflict with"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 153, "important to select short-term rewards that reinforce your identity rather than ones that conflict with it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 153, "Incentives can start a habit. Identity sustains a habit."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 153, "Immediate reinforcement helps maintain motivation in the short term while you’re waiting for the long-term rewards to arrive."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 153, "And change is easy when it is enjoyable."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 155, "Making progress is satisfying, and visual measures—like moving paper clips or hairpins or marbles—provide clear evidence of your progress."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 155, "habit tracker is a simple way to measure whether you did a habit. The most basic format is to get a calendar and cross off each day you stick with your routine."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 156, "“Don’t break the chain” is a powerful mantra."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 156, "Habit tracking is powerful because it leverages multiple Laws of Behavior Change. It simultaneously makes a behavior obvious, attractive, and satisfying."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 156, "Benefit #1: Habit tracking is obvious."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 156, "The mere act of tracking a behavior can spark the urge to change it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 156, "Measurement offers one way to overcome our blindness to our own behavior and notice what’s really going on each day."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 156, "Benefit #2: Habit tracking is attractive."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 157, "In this way, habit tracking can have an addictive effect on motivation. Each small win feeds your desire."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 157, "Benefit #3: Habit tracking is satisfying."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 157, "It feels good to watch your results grow—the size of your investment portfolio, the length of your book manuscript—and if it feels good, then you’re more likely to endure."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 157, "keep your eye on the ball: you’re focused on the process rather than the result."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 157, "Furthermore, habit tracking provides visual proof that you are casting votes for the type of person you wish to become, which is a delightful form of immediate and intrinsic gratification."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 158, "Tracking isn’t for everyone, and there is no need to measure your entire life."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 158, "First, whenever possible, measurement should be automated."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 158, "Second, manual tracking should be limited to your most important habits."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 158, "Finally, record each measurement immediately after the habit occurs."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 158, "This approach allows you to combine the habit-stacking method mentioned in Chapter 5 with habit tracking."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 159, "Whenever this happens to me, I try to remind myself of a simple rule: never miss twice."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 159, "Missing once is an accident. Missing twice is the start of a new habit."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 159, "The breaking of a habit doesn’t matter if the reclaiming of it is fast."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 160, "As Charlie Munger says, “The first rule of compounding: Never interrupt it unnecessarily.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 160, "It’s easy to train when you feel good, but it’s crucial to show up when you don’t feel like it—even if you do less than you hope."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 161, "The dark side of tracking a particular behavior is that we become driven by the number rather than the purpose behind"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 161, "The dark side of tracking a particular behavior is that we become driven by the number rather than the purpose behind it."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 161, "In short, we optimize for what we measure. When we choose the wrong measurement, we get the wrong behavior."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 161, "“When a measure becomes a target, it ceases to be a good measure.”"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 162, "All of this to say, it’s crucial to keep habit tracking in its proper place. It can feel satisfying to record a habit and track your progress, but the measurement is not the only thing that matters."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 162, "This is why nonscale victories can be effective for weight loss. The"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 162, "This is why nonscale victories can be effective for weight loss."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 162, "measurement—one that gives you more signals of progress. No matter"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 162, "measurement—one that gives you more signals of progress."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 162, "focus on a different measurement—one that gives you more signals of progress."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 164, "we are also more likely to avoid an experience when the ending is painful. Pain is an effective teacher."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 164, "then adding an instant cost to the action is a great way to reduce their odds."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 164, "We’ll jump through a lot of hoops to avoid a little bit of immediate pain."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 164, "Behavior only shifts if the punishment is painful enough and reliably enforced."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 165, "In general, the more local, tangible, concrete, and immediate the consequence, the more likely it is to influence individual behavior. The more global, intangible, vague, and delayed the consequence, the less likely it is to influence individual behavior."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 165, "Laws and regulations are an example of how government can change our habits by creating a social contract."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 165, "The group agrees to act in a certain way, and if you don’t follow along, you’ll be punished."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 165, "A habit contract is a verbal or written agreement in which you state your commitment to a particular habit and the punishment that will occur if you don’t follow through. Then you find one or two people to act as your accountability partners and sign off on the contract with you."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 166, "Finally, he wrote out each of the daily habits that would get him to his goal."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 167, "The strategy worked. With his wife and trainer acting as accountability partners and with the habit contract clarifying exactly what to do each day, Harris lost the weight."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 167, "Suddenly, you are not only failing to uphold your promises to yourself, but also failing to uphold your promises to others."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 167, "We care about the opinions of those around us because it helps if others like us."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 172, "Habits are easier to perform, and more satisfying to stick with, when they"
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 172, "Habits are easier to perform, and more satisfying to stick with, when they align with your natural inclinations and abilities."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 172, "Plus, phrases like biological determinism makes it sound like certain individuals are destined for success and others doomed to failure. But this is a shortsighted view of the influence of genes on behavior."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 173, "powerful advantage in favorable circumstances and a serious disadvantage in unfavorable circumstances."
"Atomic Habits Tiny Changes, Remarkable Results", James Clear, 173, "Competence is highly dependent on context."
